epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6414.42,0.77288,0.96696,1.21731,0.78094,0.86533,0.89113,0.57636,1.21796,1.41125,1.85358,0.000328581,0.000328581,0.000328581
43,6555.49,0.76629,0.95644,1.21265,0.8003,0.91446,0.93859,0.60811,1.26417,1.3356,1.96795,0.000320327,0.000320327,0.000320327
44,6696.99,0.77157,0.93372,1.2404,0.81747,0.90809,0.90173,0.58358,1.27054,1.32894,1.93554,0.000312073,0.000312073,0.000312073
45,6843.41,0.73605,0.88372,1.1922,0.75774,0.88558,0.90784,0.57714,1.31623,1.33683,2.00087,0.000303818,0.000303818,0.000303818
46,6985.13,0.66539,0.84421,1.16351,0.78585,0.80692,0.90909,0.57672,1.33055,1.35014,1.99051,0.000295564,0.000295564,0.000295564
47,7127.36,0.71439,0.89113,1.17068,0.91218,0.7327,0.90303,0.59899,1.28504,1.39896,1.9231,0.00028731,0.00028731,0.00028731
48,7267.28,0.73664,0.90115,1.19673,0.67365,0.88893,0.86779,0.54078,1.30741,1.66728,1.95999,0.000279056,0.000279056,0.000279056
49,7408.28,0.70963,0.88394,1.17188,0.7495,0.89774,0.89262,0.58969,1.24089,1.40742,1.88512,0.000270802,0.000270802,0.000270802
50,7549.12,0.70423,0.86109,1.16344,0.84137,0.90515,0.91659,0.58653,1.26928,1.34681,1.92506,0.000262548,0.000262548,0.000262548
51,7698.27,0.68617,0.82167,1.14662,0.82026,0.81339,0.87403,0.5808,1.28373,1.32912,1.97228,0.000254294,0.000254294,0.000254294
52,7841.55,0.68118,0.84813,1.16702,0.79662,0.87175,0.88197,0.56924,1.30606,1.3459,1.9624,0.00024604,0.00024604,0.00024604
53,7984.39,0.68392,0.83072,1.15049,0.82064,0.9482,0.93477,0.5807,1.34499,1.27507,2.04347,0.000237785,0.000237785,0.000237785
54,8140.11,0.67434,0.78872,1.12693,0.82049,0.97308,0.94977,0.60077,1.2859,1.19828,1.96743,0.000229531,0.000229531,0.000229531
55,8343.6,0.65208,0.77612,1.1305,0.84621,0.86217,0.91028,0.57594,1.23739,1.28348,1.91669,0.000221277,0.000221277,0.000221277
56,8522.75,0.66447,0.82438,1.13974,0.82612,0.8746,0.91879,0.58758,1.30421,1.289,2.00461,0.000213023,0.000213023,0.000213023
57,8734.79,0.65076,0.79697,1.13023,0.79625,0.91327,0.94852,0.60653,1.28714,1.27281,2.00962,0.000204769,0.000204769,0.000204769
58,8897.12,0.63961,0.76269,1.12344,0.81018,0.82233,0.90459,0.57715,1.30074,1.31509,2.01322,0.000196515,0.000196515,0.000196515
